"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"14/10/31","1,061.0","1,063.0","917.4","997.9","-71.1","-6.7","322,589,200",7201
"14/09/30","1,000.5","1,089.5","996.2","1,069.0","70","7","194,962,600",7201
"14/08/29","1,012.0","1,026.0","957.6","999.0","-23","-2.3","225,267,100",7201
"14/07/31","964.0","1,047.0","956.0","1,022.0","61","6.3","235,397,800",7201
"14/06/30","922.0","1,017.0","921.0","961.0","42","4.6","258,432,300",7201
"14/05/30","876.0","936.0","856.0","919.0","42","4.8","235,908,900",7201
"14/04/30","926.0","950.0","865.0","877.0","-43","-4.7","259,372,500",7201
"14/03/31","898.0","923.0","842.0","920.0","9","1","280,134,000",7201
"14/02/28","877.0","943.0","824.0","911.0","26","2.9","265,910,400",7201
"14/01/31","890.0","974.0","882.0","885.0","1","0.1","344,296,000",7201
"13/12/30","934.0","942.0","858.0","884.0","-52","-5.6","324,686,100",7201
"13/11/29","990.0","992.0","850.0","936.0","-46","-4.7","399,601,800",7201
"13/10/31","993.0","1,029.0","945.0","982.0","-2","-0.2","326,889,200",7201
"13/09/30","980.0","1,045.0","978.0","984.0","7","0.7","232,142,500",7201
"13/08/30","1,026.0","1,079.0","974.0","977.0","-50","-4.9","254,749,900",7201
"13/07/31","1,030.0","1,126.0","1,005.0","1,027.0","22","2.2","264,121,800",7201
"13/06/28","1,089.0","1,107.0","958.0","1,005.0","-110","-9.9","374,380,700",7201
"13/05/31","1,018.0","1,250.0","972.0","1,115.0","99","9.7","452,487,100",7201
"13/04/30","906.0","1,077.0","845.0","1,016.0","111","12.3","476,599,500",7201
"13/03/29","949.0","1,034.0","897.0","905.0","-32","-3.4","315,185,500",7201
"13/02/28","950.0","1,011.0","901.0","937.0","1","0.1","369,383,700",7201
"13/01/31","850.0","944.0","816.0","936.0","125","15.4","418,811,800",7201
"12/12/28","810.0","844.0","755.0","811.0","12","1.5","375,167,500",7201
"12/11/30","669.0","815.0","658.0","799.0","131","19.6","389,026,700",7201
"12/10/31","657.0","710.0","639.0","668.0","3","0.5","419,500,000",7201
"12/09/28","730.0","752.0","652.0","665.0","-65","-8.9","406,237,400",7201
"12/08/31","735.0","803.0","727.0","730.0","-14","-1.9","263,250,800",7201
"12/07/31","765.0","765.0","688.0","744.0","-4","-0.5","320,581,500",7201
"12/06/29","744","777","702","748","-10","-1.3","330,955,100",7201
"12/05/31","830","830","741","758","-78","-9.3","339,217,800",7201
"12/04/27","894","905","801","836","-45","-5.1","326,433,600",7201
"12/03/30","831","898","782","881","49","5.9","380,448,600",7201
"12/02/29","721","848","721","832","113","15.7","382,820,600",7201
"12/01/31","700","746","667","719","27","3.9","333,288,500",7201
"11/12/30","720","720","666","692","2","0.3","358,641,800",7201
"11/11/30","720","738","646","690","-45","-6.1","266,660,400",7201
"11/10/31","685","744","657","735","42","6.1","290,539,100",7201
"11/09/30","699","720","614","693","-4","-0.6","410,731,300",7201
"11/08/31","827","842","619","697","-125","-15.2","587,140,200",7201
"11/07/29","850","881","821","822","-20","-2.4","313,241,000",7201
"11/06/30","814","853","764","842","28","3.4","406,167,200",7201
"11/05/31","794","839","762","814","40","5.2","411,116,400",7201
"11/04/28","735","791","683","774","36","4.9","463,037,600",7201
"11/03/31","842","860","636","738","-97","-11.6","621,265,100",7201
"11/02/28","834","894","817","835","5","0.6","346,472,200",7201
"11/01/31","788","865","785","830","57","7.4","318,557,600",7201
"10/12/30","791","828","772","773","-12","-1.5","317,125,200",7201
"10/11/30","698","815","683","785","75","10.6","385,911,400",7201
"10/10/29","731","764","705","710","-19","-2.6","423,079,700",7201
"10/09/30","640","759","637","729","87","13.6","392,134,300",7201
