"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"6ヶ月","JP90C000F8L5",0.71,7.69,0.22
"1年","JP90C000F8L5",0.52,6.27,0.11
"3年","JP90C000F8L5",20.53,7.93,0.83
"5年","JP90C000F8L5",NA,NA,NA
"10年","JP90C000F8L5",NA,NA,NA
"6ヶ月","JP90C000F8M3",-0.94,15.73,-0.05
"1年","JP90C000F8M3",-3.9,14.25,-0.21
"3年","JP90C000F8M3",39.28,17.14,0.73
"5年","JP90C000F8M3",NA,NA,NA
"10年","JP90C000F8M3",NA,NA,NA
"6ヶ月","JP90C000F8N1",-9.54,17.89,-1.03
"1年","JP90C000F8N1",-1.44,14.96,-0.03
"3年","JP90C000F8N1",41.06,17.42,0.75
"5年","JP90C000F8N1",NA,NA,NA
"10年","JP90C000F8N1",NA,NA,NA
"6ヶ月","JP90C000F8P6",0.18,9.88,0.08
"1年","JP90C000F8P6",3.49,7.21,0.51
"3年","JP90C000F8P6",27.55,8.07,1.05
"5年","JP90C000F8P6",NA,NA,NA
"10年","JP90C000F8P6",NA,NA,NA
"6ヶ月","JP90C000F8Q4",1.48,11.68,0.3
"1年","JP90C000F8Q4",3.47,8.97,0.42
"3年","JP90C000F8Q4",26.93,11.63,0.75
"5年","JP90C000F8Q4",NA,NA,NA
"10年","JP90C000F8Q4",NA,NA,NA
"6ヶ月","JP90C000F9E8",0.49,11.99,0.13
"1年","JP90C000F9E8",1.65,10.94,0.2
"3年","JP90C000F9E8",34.92,14.97,0.74
"5年","JP90C000F9E8",NA,NA,NA
"10年","JP90C000F9E8",NA,NA,NA
"6ヶ月","JP90C000F9G3",1.38,21.76,0.22
"1年","JP90C000F9G3",12.75,16.73,0.8
"3年","JP90C000F9G3",69.89,18.45,1.06
"5年","JP90C000F9G3",NA,NA,NA
"10年","JP90C000F9G3",NA,NA,NA
