"code","value","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000FCD3","ｉＦｒｅｅ　Ｓ＆Ｐ５００インデックス","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000FCE1","ｉＦｒｅｅ外国株式インデックス（為替ヘッジあり）","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FD92","ブラックロック・つみたて・グローバルバランスファンド","追加型/内外/資産複合","ブラックロック・ジャパン","3.00%以内","外枠なし","0.36430%"
"JP90C000FDM2","三井住友・ＤＣつみたてＮＩＳＡ・世界分散ファンド","追加型/内外/資産複合","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.21000%"
"JP90C000FED9","日本株式・Ｊリートバランスファンド","追加型/国内/資産複合","岡三アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FFC8","野村６資産均等バランス","追加型/内外/資産複合","野村アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000FFX4","米国株式インデックス・ファンド","追加型/海外/株式","ステート・ストリート・グローバル・アドバイザーズ","0.22%","外枠0.5％未満","0.45000%"
"JP90C000FH72","東京海上・円資産インデックスバランスファンド","追加型/国内/資産複合","東京海上アセットマネジメント","0.00%","外枠なし","0.38000%"
"JP90C000FHC4","楽天・全世界株式インデックス・ファンド","追加型/内外/株式","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000FHD2","楽天・全米株式インデックス・ファンド","追加型/海外/株式","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000FHE0","ｅＭＡＸＩＳマイマネージャー１９７０ｓ","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHF7","ｅＭＡＸＩＳマイマネージャー１９８０ｓ","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHG5","ｅＭＡＸＩＳマイマネージャー１９９０ｓ","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000FHZ5","野村つみたて外国株投信","追加型/海外/株式","野村アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FJ05","野村つみたて日本株投信","追加型/国内/株式","野村アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FJY4","つみたてバランスファンド","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.19500%"
"JP90C000FK36","＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド","追加型/海外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.18900%"
"JP90C000FK44","＜購入・換金手数料なし＞ニッセイ・インデックスバランスファンド（６資産均等型）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.15900%"
"JP90C000FLK9","ｉ－ＳＭＴグローバル株式インデックス（ノーロード）","追加型/海外/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000FLL7","ｉ－ＳＭＴ日経２２５インデックス（ノーロード）","追加型/国内/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FN25","たわらノーロードバランス（堅実型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FN33","たわらノーロードバランス（標準型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FN41","たわらノーロードバランス（積極型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.22000%"
"JP90C000FNK5","ニッセイ・インデックスパッケージ（内外・株式）","追加型/内外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNL3","ニッセイ・インデックスパッケージ（内外・株式／リート）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNM1","ニッセイ・インデックスパッケージ（内外・株式／リート／債券）","追加型/内外/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.32400%"
"JP90C000FNN9","ニッセイ・インデックスパッケージ（国内・株式／リート／債券）","追加型/国内/資産複合","ニッセイアセットマネジメント","0.00%","外枠なし","0.28200%"
"JP90C000FQQ5","ＳＢＩ・新興国株式インデックス・ファンド","追加型/海外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06000%"
"JP90C000FQR3","ＳＢＩ・全世界株式インデックス・ファンド","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06200%"
"JP90C000FS95","ドイチェ・ＥＴＦバランス・ファンド","追加型/内外/資産複合","ドイチェ・アセット・マネジメント","0.00%","外枠0.5％未満","0.23500%"
"JP90C000FSN8","ｉ－ＳＭＴ新興国株式インデックス（ノーロード）","追加型/海外/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠0.5％未満","0.33000%"
"JP90C000FSP3","ｉ－ＳＭＴ　ＴＯＰＩＸインデックス（ノーロード）","追加型/国内/株式","三井住友トラスト・アセットマネジメント","0.00%","外枠なし","0.17000%"
"JP90C000FVY9","ＳＢＩ・先進国株式インデックス・ファンド","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.06200%"
"JP90C000FX72","たわらノーロード最適化バランス（保守型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FX80","たわらノーロード最適化バランス（安定型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FX98","たわらノーロード最適化バランス（安定成長型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXA5","たわらノーロード最適化バランス（成長型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXB3","たわらノーロード最適化バランス（積極型）","追加型/内外/資産複合","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.50000%"
"JP90C000FXV1","ｅＭＡＸＩＳ　Ｓｌｉｍ国内株式（日経平均）","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000G631","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（除く日本）","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000G664","Ｓｍａｒｔ－ｉ８資産バランス成長型","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.20000%"
"JP90C000G672","Ｓｍａｒｔ－ｉ８資産バランス安定型","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C000G680","Ｓｍａｒｔ－ｉ８資産バランス安定成長型","追加型/内外/資産複合","りそなアセットマネジメント","0.00%","外枠なし","0.18000%"
"JP90C000G7W3","ｅＭＡＸＩＳ　Ｓｌｉｍ全世界株式（３地域均等型）","追加型/内外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.10400%"
"JP90C000GB28","世界６資産分散ファンド","追加型/内外/資産複合","野村アセットマネジメント","1.00%以内","外枠0.5％未満","0.49500%"
"JP90C000GKC6","ｅＭＡＸＩＳ　Ｓｌｉｍ米国株式（Ｓ＆Ｐ５００）","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.08800%"
"JP90C000GMQ2","楽天・インデックス・バランス・ファンド（株式重視型）","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
"JP90C000GMR0","楽天・インデックス・バランス・ファンド（均等型）","追加型/内外/資産複合","楽天投信投資顧問","0.00%","外枠なし","0.12000%"
