"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000D1Z2","ｅＭＡＸＩＳ最適化バランス（マイミッドフィルダー）","03314163","インデックス型","2016/03/30","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D208","ｅＭＡＸＩＳ最適化バランス（マイフォワード）","03315163","インデックス型","2016/03/30","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D216","ｅＭＡＸＩＳ最適化バランス（マイストライカー）","03316163","インデックス型","2016/03/30","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D3K0","キャピタル世界株式ファンド（ＤＣ年金つみたて専用）","93311164","該当なし","2016/04/21","無期限","無期限","年1回","08/20","目論見書 運用報告書","外枠なし","追加型/内外/株式","キャピタル・インターナショナル","0.00%","外枠なし","0.98000%"
"JP90C000DPW0","東京海上・日経２２５インデックスファンド","4931116A","インデックス型","2016/10/27","無期限","無期限","年1回","08/06","目論見書 運用報告書","外枠なし","追加型/国内/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000DVK3","ｉＦｒｅｅ日経２２５インデックス","0431M169","インデックス型","2016/09/08","無期限","無期限","年1回","09/19","目論見書 運用報告書","外枠なし","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000DVL1","ｉＦｒｅｅ　ＴＯＰＩＸインデックス","0431N169","インデックス型","2016/09/08","無期限","無期限","年1回","09/19","目論見書 運用報告書","外枠なし","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000DVM9","ｉＦｒｅｅ　ＪＰＸ日経４００インデックス","0431O169","インデックス型","2016/09/08","無期限","無期限","年1回","03/22","目論見書 運用報告書","外枠なし","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.19500%"
"JP90C000DVN7","ｉＦｒｅｅ外国株式インデックス（為替ヘッジなし）","0431P169","インデックス型","2016/09/08","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000DVP2","ｉＦｒｅｅ　ＮＹダウ・インデックス","0431Q169","インデックス型","2016/09/08","無期限","無期限","年1回","09/07","目論見書 運用報告書","外枠なし","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000DVR8","ｉＦｒｅｅ新興国株式インデックス","0431R169","インデックス型","2016/09/08","無期限","無期限","年1回","07/05","目論見書 運用報告書","外枠なし","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.34000%"
