"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000D3K0","93311164","6ヶ月",-9.94,25.12,-0.72
"JP90C000D3K0","93311164","1年",-0.03,19.8,0.09
"JP90C000D3K0","93311164","3年",65.05,19.43,0.96
"JP90C000D3K0","93311164","5年",84.8,17.98,0.78
"JP90C000D3K0","93311164","10年",NA,NA,NA
"JP90C000DPW0","4931116A","6ヶ月",-0.93,15.68,-0.05
"JP90C000DPW0","4931116A","1年",-3.98,14.24,-0.22
"JP90C000DPW0","4931116A","3年",38.55,17.17,0.72
"JP90C000DPW0","4931116A","5年",49.78,16.56,0.57
"JP90C000DPW0","4931116A","10年",NA,NA,NA
"JP90C000DVK3","0431M169","6ヶ月",-0.9,15.74,-0.05
"JP90C000DVK3","0431M169","1年",-3.86,14.27,-0.21
"JP90C000DVK3","0431M169","3年",39.73,17.15,0.74
"JP90C000DVK3","0431M169","5年",51.97,16.54,0.59
"JP90C000DVK3","0431M169","10年",NA,NA,NA
"JP90C000DVL1","0431N169","6ヶ月",0.56,11.99,0.14
"JP90C000DVL1","0431N169","1年",1.73,10.96,0.21
"JP90C000DVL1","0431N169","3年",35.32,14.98,0.75
"JP90C000DVL1","0431N169","5年",35.79,14.72,0.49
"JP90C000DVL1","0431N169","10年",NA,NA,NA
"JP90C000DVM9","0431O169","6ヶ月",0.39,12.59,0.12
"JP90C000DVM9","0431O169","1年",1.42,11.45,0.18
"JP90C000DVM9","0431O169","3年",36.83,15.33,0.76
"JP90C000DVM9","0431O169","5年",37.26,14.93,0.5
"JP90C000DVM9","0431O169","10年",NA,NA,NA
"JP90C000DVN7","0431P169","6ヶ月",1.47,21.73,0.22
"JP90C000DVN7","0431P169","1年",12.74,16.71,0.8
"JP90C000DVN7","0431P169","3年",69.91,18.46,1.06
"JP90C000DVN7","0431P169","5年",90.03,17.24,0.84
"JP90C000DVN7","0431P169","10年",NA,NA,NA
"JP90C000DVP2","0431Q169","6ヶ月",7.33,17.92,0.87
"JP90C000DVP2","0431Q169","1年",13.87,13.45,1.03
"JP90C000DVP2","0431Q169","3年",62.12,18.19,0.98
"JP90C000DVP2","0431Q169","5年",98.04,17.07,0.89
"JP90C000DVP2","0431Q169","10年",NA,NA,NA
"JP90C000DVR8","0431R169","6ヶ月",5.35,10.71,1.02
"JP90C000DVR8","0431R169","1年",2.29,10.59,0.27
"JP90C000DVR8","0431R169","3年",26.77,21.3,0.48
"JP90C000DVR8","0431R169","5年",33.31,19.28,0.4
"JP90C000DVR8","0431R169","10年",NA,NA,NA
"JP90C000DVX6","0431X169","6ヶ月",1.88,10.94,0.39
"JP90C000DVX6","0431X169","1年",4.03,8.36,0.51
"JP90C000DVX6","0431X169","3年",25.9,11.63,0.72
"JP90C000DVX6","0431X169","5年",34.2,10.17,0.64
"JP90C000DVX6","0431X169","10年",NA,NA,NA
"JP90C000DXE2","4731116A","6ヶ月",-9.6,17.86,-1.04
"JP90C000DXE2","4731116A","1年",-1.41,14.98,-0.02
"JP90C000DXE2","4731116A","3年",41.59,17.49,0.75
"JP90C000DXE2","4731116A","5年",57.46,15.69,0.66
"JP90C000DXE2","4731116A","10年",NA,NA,NA
"JP90C000E6Z0","2931316B","6ヶ月",-0.95,15.75,-0.05
"JP90C000E6Z0","2931316B","1年",-3.88,14.28,-0.21
"JP90C000E6Z0","2931316B","3年",39.45,17.15,0.73
"JP90C000E6Z0","2931316B","5年",51.66,16.55,0.59
"JP90C000E6Z0","2931316B","10年",NA,NA,NA
"JP90C000ENA9","03317172","6ヶ月",0.51,12.02,0.14
"JP90C000ENA9","03317172","1年",1.69,10.95,0.21
"JP90C000ENA9","03317172","3年",35.21,14.98,0.75
"JP90C000ENA9","03317172","5年",35.83,14.72,0.49
"JP90C000ENA9","03317172","10年",NA,NA,NA
"JP90C000ENC5","03319172","6ヶ月",1.53,21.71,0.23
"JP90C000ENC5","03319172","1年",12.87,16.7,0.81
"JP90C000ENC5","03319172","3年",70.51,18.44,1.06
"JP90C000ENC5","03319172","5年",90.98,17.21,0.84
